channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
LOL ESPORTS VODS ESPAÑOL CASTEOS IBAI,117636907,136000,1855,320301,6131,362,8995156,1863421,649,1,320301
IbaiExtra,88802295,443000,856,251854,5371,213,5330324,449818,174,0,251854
Prominence Legends Poker League ,338024374,670,373,440,2,1,7054128,519600,43,0,440
Selp,322573774,181000,379,175177,18201,416,17019680,765755,1449,1,175177
Geishuu,376141631,18600,334,39571,930,20,14509359,1683278,720,0,39571
Chap,345638377,199000,1091,15031,233,3,6999607,59762,16,0,15031
Midbeast,334356765,519000,1228,276984,5206,313,12825911,422259,144,0,276984
Jynxzi Live,84091343,1830000,803,1318362,39070,792,8917417,570000,307,0,1318362
Raiko - League of Legends,60615764,5840,603,2284,66,11,5483051,309438,162,0,2284
프제짱 PzZZang,270651087,470000,3318,185947,1207,148,9868899,313027,37,0,185947
League Of Legends CHANNEL,342638632,51,11,13096,11,2,266636,203170316,3108,18,13096
League of Legends Indonesia,110263277,4660,280,1092,67,12,7953197,185408,207,1,1092
Mumba Legend  OP 99,79034662,74,15,27,4,1,153500,288684,779,6,27
Gallen League of Legends,95960816,411,13,913,61,7,453140,1757602,2139,8,913
LolElekktro,330294574,148000,2104,814373,48909,253,9636141,4353649,4763,0,814373
Ogün Demirci,386511028,335000,1927,92812,4656,102,9092000,219205,200,0,92812
Vallheim • League of Legends,368465991,3630,370,11294,149,10,17421639,2461687,591,1,11294
League of Hardstuck,110436572,426000,303,6035549,157386,1050,8728743,11209827,5325,1,6035549
MaldHound,127911965,187000,1428,143752,5271,228,4595699,608224,406,0,143752
More Doublelift,143577971,49200,678,155843,2112,210,12623304,2506189,618,2,155843
League of Legends S91,287635136,95,138,3129,21,1,7072771,26059958,3186,5,3129
The Legends,364700811,216000,1204,32124,305,5,4691574,117670,20,0,32124
Dx Channel,427930647,298000,462,140069,2091,132,21449202,371892,101,0,140069
Baller League UK,46969887,304000,597,738988,5705,75,2628876,1923337,270,0,738988
Yozu Lux,128605271,81300,786,75133,2366,37,8967386,731192,419,0,75133
League of Legends: Wild Rift Polska,206083953,8310,303,38838,1072,78,22754600,3697835,1859,4,38838
TF Blade,264808818,357000,1036,18644,187,9,2586434,41320,7,0,18644
PochiPoom,274367963,430000,1752,310572,11820,315,14800558,571459,396,0,310572
Zen Coaching,306566421,18200,57,5730,155,11,14341981,249100,122,0,5730
Rank 1 CN,115714161,53200,3813,9304,182,30,8016804,138372,49,0,9304
2xQ Old Channel,93796478,3110,58,188,5,1,3138684,47828,23,0,188
바르암,7140940,1920,23,6749,58,18,573625,2781185,435,4,6749
League of Legends - Greece,392905365,48200,742,20347,411,38,31179566,333998,122,0,20347
Sentinels League of Legends,16269403,4300,28,23797,713,51,1681268,4378703,2390,5,23797
EcoreLoL,87225907,82600,538,104208,2943,133,5255033,998189,513,0,104208
League of Legends - România,392905251,64100,783,9695,273,24,39841576,119668,61,0,9695
Makkro,132576855,59300,3640,43986,1153,70,5151706,586883,280,0,43986
Supa,101550357,20200,445,28223,776,15,11137974,1105461,553,0,28223
Sneaky,327731626,450000,1290,68621,1266,91,17388322,120652,40,0,68621
Rinzler,268924139,18700,274,17238,796,47,20302447,729351,613,1,17238
징엔장,23945102,391,127,1055,5,1,887095,2134850,184,1,1055
Kitty,369805452,33300,704,41186,740,12,6422105,978581,320,0,41186
Drututt Shorts,153478092,67600,4207,241620,7445,117,2659880,2827990,1587,0,241620
PZ ZZANG,104479035,93800,627,86860,2147,58,7242797,732670,329,0,86860
perryjg,159083346,66500,1178,96959,2034,90,7609501,1153607,440,0,96959
Ricardo LOL,245072234,1940,406,574,13,0,5134963,234100,96,0,574
League of Football Legends,112792403,466,120,543,5,0,1172054,921946,154,0,543
ScrubNoob,310796877,140000,934,40253,614,30,5594031,227489,63,0,40253
Blanquette - League of Legends,256029744,32100,803,25728,543,48,3792947,634151,243,0,25728
ThexDma,165485884,46000,138,50352,3801,196,3648003,866065,1191,2,50352
Hi im Coconut,325722578,759000,1819,48296,778,24,1036794,50345,14,0,48296
